"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"62","D'Onta Foreman HOU","17.019","18.314","14.830","14.829","18.315","23.72","BYE","14.631","20.86","17.817","14.928","15.027","14.829","28.11","17.019","20.57","20.86"
"63","Devontae Booker DEN","20.28","14.332","21.73","19.611","BYE","15.725","20.28","18.315","16.720","14.830","18.314","19.611","18.116","18.613","20.86","21.05","18.315"
"64","Marlon Mack IND","17.817","14.928","23.72","14.631","28.11","14.829","17.019","18.314","17.518","20.57","BYE","14.829","17.019","21.73","19.312","15.027","17.518"
"65","Jalen Richard OAK","14.829","18.613","21.05","19.312","15.027","20.28","18.315","21.73","18.116","BYE","14.830","19.312","15.725","18.315","14.332","16.720","20.28"
"66","Robert Turbin IND","17.817","14.928","23.72","14.631","28.11","14.829","17.019","18.314","17.518","20.57","BYE","14.829","17.019","21.73","19.312","15.027","17.518"
"67","Tim Hightower SF","16.222","14.631","17.817","14.928","20.86","21.05","14.332","16.720","14.928","15.725","BYE","14.631","16.123","17.518","14.829","17.019","17.817"
"68","Charles Sims TB","18.116","16.123","15.526","15.725","14.830","14.928","21.73","16.222","21.74","18.613","BYE","19.710","16.421","15.824","19.710","16.222","21.74"
"69","Jerick McKinnon MIN","21.74","20.57","19.99","15.824","16.123","16.421","15.027","23.72","BYE","21.05","17.817","15.824","19.710","16.222","18.314","16.421","16.123"
"70","Elijah Hood OAK","14.829","18.613","21.05","19.312","15.027","20.28","18.315","21.73","18.116","BYE","14.830","19.312","15.725","18.315","14.332","16.720","20.28"
"71","James Conner PIT","23.72","15.526","16.123","15.027","17.019","18.315","18.314","15.824","BYE","20.86","14.829","16.421","18.314","15.027","14.830","17.518","23.72"
"72","Chris Ivory JAC","17.518","14.829","15.027","18.613","20.57","17.817","20.86","BYE","18.314","20.28","23.72","14.928","20.86","14.631","17.518","28.11","14.829"
"73","Ryan Mathews FA","","","","","","","","","","","","","","","","",""
"74","Zach Zenner DET","14.928","15.725","19.710","15.526","16.222","21.74","BYE","20.57","16.421","23.72","16.123","15.526","15.027","19.99","16.123","18.314","16.421"
"75","Alfred Morris DAL","15.725","19.312","14.928","17.817","16.421","BYE","28.11","21.05","18.315","19.710","16.720","20.28","21.05","15.725","19.611","14.631","16.720"
