"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"51","Marvin Jones DET","25.74","20.625","23.317","19.429","24.39","23.515","BYE","18.630","27.71","24.011","25.26","19.429","24.110","23.416","25.26","18.431","27.71"
"52","Ted Ginn NO","19.429","20.226","24.39","24.68","BYE","23.219","27.71","25.26","23.416","21.623","23.218","25.17","24.39","23.317","22.920","23.317","23.416"
"53","Robby Anderson NYJ","21.623","23.514","24.68","19.827","24.011","20.226","24.68","23.317","21.623","23.416","BYE","24.39","23.612","13.532","23.515","20.824","20.226"
"54","Sterling Shepard NYG","22.721","23.219","26.92","23.416","20.824","13.532","23.613","BYE","25.17","25.65","23.612","23.218","23.514","22.721","26.92","25.74","23.218"
"55","Zay Jones BUF","22.920","24.39","13.532","23.317","18.431","BYE","23.416","23.514","22.920","23.515","20.824","23.612","20.226","22.322","24.68","20.226","24.68"
"56","Josh Doctson WAS","26.92","25.17","23.514","23.612","BYE","25.65","26.92","22.721","23.613","19.429","23.515","20.625","22.721","20.824","25.74","13.532","20.625"
"57","Tyler Lockett SEA","27.71","25.65","26.23","22.322","25.17","BYE","20.625","19.528","23.218","25.74","23.317","25.65","26.92","19.827","25.17","22.721","25.74"
"58","Kenny Stills MIA","23.416","20.824","22.920","23.515","26.23","23.317","22.920","24.110","23.514","24.39","BYE","20.226","13.532","20.226","21.623","23.612","21.623"
"59","Kevin White CHI","23.317","23.416","18.630","27.71","19.429","24.110","24.39","23.515","BYE","27.71","23.219","26.92","25.65","18.431","23.219","24.011","19.429"
"60","Breshad Perriman BAL","18.431","24.011","19.827","18.630","23.514","25.26","19.429","24.68","26.23","BYE","27.71","19.528","23.219","18.630","24.011","22.322","18.431"
"61","Cole Beasley DAL","20.625","13.532","25.74","25.17","27.71","BYE","25.65","23.218","23.612","23.317","26.92","20.824","23.218","20.625","23.514","23.613","26.92"
"62","J.J. Nelson ARI","23.219","22.322","22.721","25.65","26.92","23.416","25.17","BYE","25.65","23.613","19.528","19.827","25.17","26.23","23.218","20.625","23.613"
"63","Robert Woods LAR","22.322","23.218","25.65","22.721","23.613","19.827","25.74","BYE","20.625","19.528","19.429","23.515","25.74","26.92","23.613","26.23","25.65"
"64","Kenny Golladay DET","25.74","20.625","23.317","19.429","24.39","23.515","BYE","18.630","27.71","24.011","25.26","19.429","24.110","23.416","25.26","18.431","27.71"
"65","John Ross CIN","24.110","19.528","27.71","24.011","21.623","BYE","18.630","22.322","19.827","26.23","13.532","24.011","18.630","25.26","19.429","23.219","24.110"
"66","Anquan Boldin BUF","22.920","24.39","13.532","23.317","18.431","BYE","23.416","23.514","22.920","23.515","20.824","23.612","20.226","22.322","24.68","20.226","24.68"
"67","Marqise Lee JAC","19.528","26.23","24.110","22.920","18.630","25.17","22.322","BYE","18.431","20.824","24.011","25.74","22.322","23.613","19.528","25.65","26.23"
"68","Allen Hurns JAC","19.528","26.23","24.110","22.920","18.630","25.17","22.322","BYE","18.431","20.824","24.011","25.74","22.322","23.613","19.528","25.65","26.23"
"69","Devin Funchess CAR","25.65","21.623","23.515","20.226","23.219","26.92","25.26","23.416","23.317","24.68","BYE","22.920","23.515","19.429","27.71","23.416","23.317"
"70","Malcolm Mitchell NE","23.612","23.515","19.528","24.39","23.416","22.920","23.317","20.824","BYE","13.532","23.514","24.68","21.623","24.68","18.630","21.623","22.920"
"71","Taylor Gabriel ATL","25.26","27.71","23.219","21.623","BYE","24.68","20.226","22.920","24.39","22.721","23.613","23.416","19.429","23.515","23.416","23.515","24.39"
"72","Mike Williams LAC","13.532","24.68","23.612","26.92","20.625","23.514","13.532","20.226","BYE","19.827","21.623","22.721","24.011","23.218","23.612","22.920","23.514"
"73","Nelson Agholor PHI","23.218","23.612","20.625","20.824","25.74","24.39","23.218","25.65","13.532","BYE","22.721","25.26","23.613","25.17","20.625","23.514","22.721"
"74","Will Fuller HOU","19.827","18.431","20.226","26.23","23.612","24.011","BYE","23.613","22.322","25.17","25.74","24.110","26.23","25.65","19.827","18.630","22.322"
"75","Torrey Smith PHI","23.218","23.612","20.625","20.824","25.74","24.39","23.218","25.65","13.532","BYE","22.721","25.26","23.613","25.17","20.625","23.514","22.721"
"76","Cooper Kupp LAR","22.322","23.218","25.65","22.721","23.613","19.827","25.74","BYE","20.625","19.528","19.429","23.515","25.74","26.92","23.613","26.23","25.65"
"77","Mohamed Sanu ATL","25.26","27.71","23.219","21.623","BYE","24.68","20.226","22.920","24.39","22.721","23.613","23.416","19.429","23.515","23.416","23.515","24.39"
"78","Paul Richardson SEA","27.71","25.65","26.23","22.322","25.17","BYE","20.625","19.528","23.218","25.74","23.317","25.65","26.92","19.827","25.17","22.721","25.74"
"79","Tavon Austin LAR","22.322","23.218","25.65","22.721","23.613","19.827","25.74","BYE","20.625","19.528","19.429","23.515","25.74","26.92","23.613","26.23","25.65"
